"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"53",16,9,8,14,18,13,13,17,19,21,21,19,19,16,15,24,18,17,15,17,20,14,19,16,22,17,16,12,19,29,14,14,13,9,11,23,17,22,16,15,20,19,20,18,14,26,17,10,16,18,17,21,19,12,19,15,20,18,13,18,17,14,9,5,15,22,14,17,18,18,21,16,18,20,19,21,17,9,16,23,17,13,16,23,19,12,17,13,11,17,14,21,19,15,15,20,16,9,15,13
"54",16,9,8,14,16,12,12,18,20,21,23,19,19,17,14,24,17,18,16,16,20,14,18,15,20,17,15,12,19,29,14,14,13,9,11,21,19,21,16,16,17,19,19,17,14,27,17,11,16,18,17,21,17,12,18,15,20,18,15,18,16,14,10,5,15,23,15,18,17,20,22,16,17,20,19,19,17,9,14,23,17,14,15,23,19,12,17,13,12,17,13,20,19,14,13,19,16,9,16,11
"55",15,10,8,15,16,11,12,18,18,20,23,19,19,16,13,25,17,18,16,15,20,14,23,13,22,16,16,13,18,29,12,14,13,9,12,20,20,20,16,17,17,18,20,17,13,27,17,10,15,16,17,21,17,12,17,16,20,17,16,20,15,13,10,5,15,23,15,17,17,18,20,16,17,20,21,19,17,9,14,24,16,14,15,24,18,14,18,13,12,18,13,20,20,14,13,19,16,8,16,11
"56",15,11,7,15,15,11,14,18,17,22,22,20,20,17,12,26,18,19,14,14,19,15,24,12,22,16,17,11,18,29,13,13,13,9,12,19,20,22,16,17,15,19,20,17,13,26,18,10,15,15,17,21,16,12,18,15,19,18,16,20,15,13,10,5,14,22,16,17,18,18,22,16,18,20,21,20,17,10,14,23,16,15,15,26,16,14,18,13,12,18,13,20,21,13,12,19,15,7,17,10
"57",15,11,7,16,16,11,14,19,18,22,25,20,20,17,12,25,19,18,14,14,18,15,24,12,22,16,16,10,18,30,14,15,13,10,11,19,20,21,17,16,16,20,19,17,11,26,17,9,15,16,17,20,16,11,19,14,20,17,16,19,15,13,9,5,14,23,16,17,19,18,21,16,16,20,21,21,15,12,14,25,18,15,15,26,17,15,19,12,12,18,13,19,22,14,12,21,14,7,16,9
"58",16,12,8,16,15,14,14,19,18,20,24,19,22,16,12,25,19,17,13,13,18,14,25,12,23,16,16,10,18,31,13,16,13,10,10,19,20,22,16,16,17,19,19,16,11,25,16,9,15,17,17,22,16,12,20,14,21,16,16,19,15,13,10,5,14,23,17,16,19,15,22,17,17,21,23,22,14,11,15,25,19,12,16,25,16,15,19,12,13,18,13,19,23,14,13,21,14,7,17,9
"59",16,12,9,17,14,14,14,18,19,17,25,20,22,16,12,20,19,16,14,13,18,15,26,12,20,16,15,11,19,32,13,14,12,11,10,17,19,21,16,15,17,17,19,17,11,24,16,10,14,16,17,24,15,13,22,15,21,15,16,19,15,16,11,5,14,23,18,14,18,15,22,16,17,19,23,21,14,10,14,24,19,13,17,26,14,15,18,13,13,18,13,18,23,14,15,21,14,7,17,8
"60",16,11,9,16,16,15,14,18,18,18,26,20,23,16,13,19,19,16,14,13,18,16,25,12,20,17,16,12,18,32,14,14,11,11,10,16,19,20,17,16,16,18,18,17,12,24,14,11,14,15,18,23,16,13,23,15,20,15,17,18,15,16,11,6,14,22,19,15,16,15,21,16,17,18,23,21,14,11,14,24,18,15,17,24,14,15,19,14,13,18,14,19,24,14,16,21,14,7,17,8
"61",17,13,10,17,15,15,14,19,20,20,26,21,23,16,13,19,19,16,13,14,17,17,28,15,22,15,16,12,17,31,12,15,13,12,8,14,19,20,16,17,16,19,20,18,13,22,14,11,13,16,16,23,15,13,22,17,19,13,17,17,15,16,11,6,14,22,20,15,16,14,22,18,18,18,23,22,12,11,15,23,20,16,17,24,14,15,20,15,13,18,13,19,24,14,15,22,15,7,15,8
"62",17,13,12,17,15,15,13,18,20,18,26,21,22,16,13,18,19,15,13,14,17,17,28,16,22,14,17,12,18,31,13,15,16,14,7,14,21,19,16,17,17,20,21,18,13,22,14,11,14,16,16,24,17,13,21,16,19,13,17,17,15,15,11,6,13,20,20,14,14,15,21,17,16,16,22,20,12,12,15,23,20,15,17,24,13,14,19,15,14,17,14,19,23,13,15,22,15,7,15,8
