"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"86",36,33,30,28,25,29,29,33,23,27,22,22,39,30,36,44,30,27,18,18,26,29,32,30,37,42,33,25,19,32,18,32,32,33,20,36,29,20,31,20,33,21,26,34,30,20,23,29,25,30,35,38,41,31,33,39,29,36,32,37,25,36,26,22,28,32,32,32,30,25,52,28,33,31,29,23,41,25,28,38,27,28,37,18,38,23,23,38,39,40,33,37,31,33,30,22,31,43,34,28
"87",38,35,35,29,26,30,29,37,23,27,24,22,40,34,36,48,29,27,19,17,29,30,35,31,38,42,33,26,21,33,18,33,31,33,20,38,28,23,31,20,35,22,27,32,31,20,24,31,25,30,34,40,41,31,36,42,29,36,33,34,25,40,28,22,29,31,33,34,31,26,54,28,31,33,26,24,42,27,30,36,26,29,38,18,37,24,27,35,38,40,33,37,33,37,30,22,32,44,38,29
"88",40,33,37,29,28,31,29,38,21,27,23,22,39,35,35,48,32,27,21,17,27,31,35,32,36,42,34,25,22,32,18,30,31,34,23,38,27,22,32,20,36,21,28,33,33,20,28,32,22,30,35,40,42,31,36,45,31,34,33,34,28,41,29,23,30,32,34,35,30,28,53,26,29,32,27,21,42,27,31,38,26,29,38,19,40,23,25,36,39,41,32,35,33,37,28,25,35,44,39,30
"89",39,36,38,28,27,30,29,39,20,26,24,22,41,35,37,46,33,27,20,19,29,33,35,33,36,43,34,24,23,33,19,32,30,35,26,38,29,24,33,22,35,21,29,34,33,25,25,33,23,34,34,40,46,31,37,46,33,34,33,33,28,40,30,23,29,34,35,38,31,28,52,28,29,33,26,23,41,28,26,38,22,30,41,18,41,24,25,36,38,41,32,34,33,36,30,25,34,44,37,30
"90",38,36,40,29,24,31,29,41,20,30,24,22,42,38,38,47,32,29,21,19,28,34,35,33,36,43,35,24,23,33,19,31,31,37,26,38,28,22,34,20,35,22,29,35,33,25,27,34,23,36,33,40,44,32,38,47,33,32,34,33,28,40,29,22,32,34,37,41,32,29,50,28,32,33,26,23,42,29,25,41,24,28,40,20,42,24,28,36,43,41,30,35,34,35,33,26,37,45,37,30
"91",39,39,40,30,23,30,31,40,21,30,29,25,44,36,39,47,30,30,23,21,30,35,34,37,38,42,38,25,25,30,21,32,30,36,30,39,28,24,36,19,33,24,30,36,38,24,27,35,26,39,33,41,44,31,38,51,31,32,37,35,29,38,31,24,37,34,36,40,33,31,53,28,33,36,27,25,45,28,24,42,27,29,41,25,46,27,32,37,44,43,33,36,34,36,36,27,39,44,37,29
"92",41,36,41,30,24,31,32,45,20,30,30,28,44,34,38,50,31,31,24,26,26,35,34,37,41,48,41,29,27,30,20,33,30,41,33,38,28,26,35,20,31,25,30,37,41,26,30,33,26,37,33,41,44,33,41,51,32,33,38,32,29,41,32,25,39,38,35,43,35,32,55,27,38,38,30,26,48,29,26,41,26,29,46,27,48,27,31,40,44,42,31,40,33,39,33,26,38,45,38,30
"93",42,37,43,30,27,32,33,47,24,29,29,27,43,37,38,53,32,31,27,28,28,35,35,37,42,46,42,29,27,35,19,34,33,39,38,38,31,28,36,22,36,26,31,37,41,26,31,32,27,38,31,44,45,34,42,48,33,34,41,35,29,42,29,29,39,39,37,41,39,29,56,28,39,38,29,28,47,28,28,43,26,31,50,26,44,27,32,41,50,45,29,43,35,38,31,26,38,45,42,31
"94",45,37,42,31,28,34,31,47,24,28,26,26,43,41,38,53,32,29,29,27,27,39,36,39,39,53,44,29,27,38,20,35,34,42,38,39,33,27,35,24,33,32,28,39,43,28,32,30,29,40,32,45,48,32,45,46,35,37,41,38,28,43,31,29,36,42,39,41,40,31,56,28,39,39,30,30,46,30,28,39,31,29,47,26,45,29,35,44,51,45,29,45,34,37,31,29,38,45,44,31
"95",44,40,42,30,32,35,31,50,24,27,27,30,43,40,40,50,34,29,29,25,27,40,34,41,41,53,46,33,29,39,21,32,33,44,40,40,33,25,36,24,34,32,28,40,45,28,34,31,28,42,32,45,46,32,47,46,36,40,39,38,29,46,33,30,36,41,37,42,42,31,56,27,40,37,32,31,49,34,30,42,32,30,48,26,45,33,35,46,53,46,30,46,36,41,31,32,40,46,46,30
"96",43,40,44,31,31,36,31,50,22,29,29,33,44,43,44,50,35,29,31,24,28,41,36,44,43,55,45,33,31,40,23,33,35,45,40,40,32,27,38,24,34,33,28,40,47,27,35,32,29,43,35,45,44,32,45,45,37,44,45,42,30,42,35,33,35,40,37,45,40,31,59,28,42,37,32,33,49,34,31,42,32,34,49,27,45,35,36,46,52,44,34,48,35,42,32,34,44,46,46,30
"97",42,42,44,32,32,36,34,50,21,28,29,32,44,43,45,49,37,29,29,25,29,41,38,43,47,51,46,34,32,41,22,33,32,49,40,43,30,28,37,25,34,34,28,42,50,29,33,34,32,44,36,45,43,32,45,45,34,44,45,40,35,42,35,33,35,42,37,47,37,33,59,31,41,35,35,34,48,35,31,46,32,34,49,29,46,35,40,50,52,45,40,46,35,43,30,35,44,47,45,29
"98",43,44,48,32,34,35,34,54,21,26,31,33,48,38,45,54,36,28,29,26,32,42,41,44,45,53,45,38,34,41,22,32,31,50,40,43,30,26,36,25,35,35,31,42,54,28,31,34,33,44,36,46,46,32,44,46,34,44,43,40,34,41,36,33,37,40,37,49,41,35,60,33,40,37,35,35,51,33,33,47,32,36,52,28,47,34,41,51,53,44,43,48,34,43,30,36,45,46,42,29
"99",44,42,49,32,34,35,33,54,26,26,31,33,48,38,47,53,36,32,30,27,32,39,42,45,45,56,45,36,34,42,24,34,32,50,40,46,32,28,36,26,36,34,33,44,55,29,31,32,35,46,38,46,48,31,46,47,34,49,44,40,36,41,36,33,38,39,38,51,43,36,61,35,41,38,36,36,52,33,35,45,35,37,52,28,49,33,44,52,52,46,46,51,35,45,33,37,42,47,43,28
"100",46,44,50,32,33,35,37,60,31,28,32,32,49,39,46,55,39,35,29,26,30,37,45,47,48,56,45,36,37,43,26,36,34,53,43,42,31,29,39,24,37,36,34,44,56,30,32,32,36,49,38,49,50,31,45,47,34,50,43,41,39,42,38,34,40,42,40,54,42,35,62,35,43,38,41,35,52,33,36,47,38,37,49,28,51,34,44,52,55,44,47,55,37,44,32,37,43,49,41,29
"101",49,43,49,31,32,39,37,62,30,26,32,33,53,40,45,54,37,34,32,28,34,36,46,48,49,53,46,38,37,43,27,36,33,52,45,41,31,28,40,23,38,34,35,45,54,31,31,33,35,47,37,50,52,35,46,51,36,52,44,45,39,42,38,34,42,44,41,53,41,34,57,40,43,41,44,38,51,34,38,51,37,38,51,29,52,33,44,51,56,44,46,54,35,44,33,36,44,50,38,30
"102",51,43,50,35,36,39,37,63,32,28,32,34,55,37,47,58,36,34,31,27,37,39,46,50,50,53,41,38,40,43,30,37,35,54,44,39,33,27,39,23,40,33,36,46,58,30,31,35,35,47,36,50,52,35,46,55,37,51,45,47,39,45,37,33,44,44,42,51,41,34,57,41,45,42,47,39,52,32,38,49,39,35,52,30,51,36,46,52,56,47,45,54,37,43,36,36,45,50,41,29
